Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
139.925, 35.54166666666667, 139.88333333333333, 35.583333333333336, 139.96666666666667, 35.5
138.19166666666666, 37.25833333333333, 138.15, 37.3, 138.23333333333332, 37.21666666666667
138.27499999999998, 37.29166666666667, 138.23333333333332, 37.333333333333336, 138.31666666666666, 37.25
138.10833333333335, 37.24166666666667, 138.06666666666666, 37.28333333333333, 138.15, 37.2
140.09166666666667, 37.475, 140.05, 37.516666666666666, 140.13333333333333, 37.43333333333334
138.49166666666667, 37.44166666666666, 138.45, 37.483333333333334, 138.53333333333333, 37.4
138.35833333333335, 37.358333333333334, 138.31666666666666, 37.4, 138.4, 37.31666666666667
139.79166666666669, 35.425, 139.75, 35.46666666666667, 139.83333333333334, 35.38333333333333
140.00833333333333, 35.575, 139.96666666666667, 35.61666666666667, 140.05, 35.53333333333333
138.55833333333334, 37.525000000000006, 138.51666666666668, 37.56666666666667, 138.6, 37.483333333333334
138.675, 37.625, 138.63333333333333, 37.666666666666664, 138.71666666666667, 37.583333333333336
138.40833333333333, 37.44166666666666, 138.36666666666667, 37.483333333333334, 138.45, 37.4
138.59166666666667, 37.608333333333334, 138.55, 37.65, 138.63333333333333, 37.56666666666667
139.84166666666667, 35.50833333333333, 139.8, 35.55, 139.88333333333333, 35.46666666666667
139.39166666666665, 35.24166666666667, 139.35, 35.28333333333333, 139.43333333333334, 35.2
138.69166666666666, 37.70833333333333, 138.65, 37.75, 138.73333333333332, 37.666666666666664
138.47500000000002, 37.525000000000006, 138.43333333333334, 37.56666666666667, 138.51666666666668, 37.483333333333334
139.29166666666669, 35.225, 139.25, 35.266666666666666, 139.33333333333334, 35.18333333333334
138.19166666666666, 37.34166666666667, 138.15, 37.38333333333333, 138.23333333333332, 37.3
138.27499999999998, 37.375, 138.23333333333332, 37.416666666666664, 138.31666666666666, 37.333333333333336
138.04166666666669, 37.19166666666666, 138.0, 37.233333333333334, 138.08333333333334, 37.15
139.47500000000002, 35.24166666666667, 139.43333333333334, 35.28333333333333, 139.51666666666668, 35.2
138.27499999999998, 34.825, 138.23333333333332, 34.86666666666667, 138.31666666666666, 34.78333333333333
139.34166666666667, 38.19166666666666, 139.3, 38.233333333333334, 139.38333333333333, 38.15
138.72500000000002, 37.79166666666667, 138.68333333333334, 37.833333333333336, 138.76666666666668, 37.75
139.74166666666667, 35.34166666666667, 139.7, 35.38333333333333, 139.78333333333333, 35.3
138.60833333333335, 37.70833333333333, 138.56666666666666, 37.75, 138.65, 37.666666666666664
138.50833333333333, 37.608333333333334, 138.46666666666667, 37.65, 138.55, 37.56666666666667
139.70833333333331, 38.875, 139.66666666666666, 38.916666666666664, 139.75, 38.833333333333336
139.375, 38.275000000000006, 139.33333333333334, 38.31666666666667, 139.41666666666666, 38.233333333333334
139.20833333333331, 35.19166666666666, 139.16666666666666, 35.233333333333334, 139.25, 35.15
138.70833333333331, 35.05833333333334, 138.66666666666666, 35.1, 138.75, 35.016666666666666
138.44166666666666, 37.358333333333334, 138.4, 37.4, 138.48333333333332, 37.31666666666667
139.25833333333333, 38.125, 139.21666666666667, 38.166666666666664, 139.3, 38.083333333333336
139.05833333333334, 38.04166666666667, 139.01666666666668, 38.083333333333336, 139.1, 38.0
140.65833333333333, 36.19166666666666, 140.61666666666667, 36.233333333333334, 140.7, 36.15
141.05833333333334, 38.15833333333333, 141.01666666666668, 38.2, 141.1, 38.11666666666667
138.10833333333335, 37.325, 138.06666666666666, 37.36666666666667, 138.15, 37.28333333333333
138.39166666666665, 37.525000000000006, 138.35, 37.56666666666667, 138.43333333333334, 37.483333333333334
141.04166666666669, 38.075, 141.0, 38.11666666666667, 141.08333333333334, 38.03333333333333
138.625, 35.025, 138.58333333333334, 35.06666666666666, 138.66666666666666, 34.983333333333334
139.65833333333333, 38.79166666666667, 139.61666666666667, 38.833333333333336, 139.7, 38.75
138.97500000000002, 37.99166666666667, 138.93333333333334, 38.03333333333333, 139.01666666666668, 37.95
138.875, 37.94166666666666, 138.83333333333334, 37.983333333333334, 138.91666666666666, 37.9
138.75833333333333, 37.875, 138.71666666666667, 37.916666666666664, 138.8, 37.833333333333336
139.175, 38.075, 139.13333333333333, 38.11666666666667, 139.21666666666667, 38.03333333333333
139.95833333333331, 39.75833333333333, 139.91666666666666, 39.8, 140.0, 39.71666666666667
138.52499999999998, 37.69166666666666, 138.48333333333332, 37.733333333333334, 138.56666666666666, 37.65
140.69166666666666, 36.108333333333334, 140.65, 36.15, 140.73333333333332, 36.06666666666667
138.64166666666665, 37.79166666666667, 138.6, 37.833333333333336, 138.68333333333334, 37.75
139.22500000000002, 35.108333333333334, 139.18333333333334, 35.15, 139.26666666666668, 35.06666666666666
140.675, 36.275000000000006, 140.63333333333333, 36.31666666666667, 140.71666666666667, 36.233333333333334
139.375, 38.358333333333334, 139.33333333333334, 38.4, 139.41666666666666, 38.31666666666667
139.25833333333333, 38.20833333333333, 139.21666666666667, 38.25, 139.3, 38.166666666666664
138.425, 37.608333333333334, 138.38333333333333, 37.65, 138.46666666666667, 37.56666666666667
139.97500000000002, 39.675, 139.93333333333334, 39.71666666666667, 140.01666666666668, 39.63333333333333
139.79166666666669, 39.09166666666667, 139.75, 39.13333333333333, 139.83333333333334, 39.05
139.72500000000002, 38.95833333333333, 139.68333333333334, 39.0, 139.76666666666668, 38.916666666666664
139.94166666666666, 39.40833333333333, 139.9, 39.45, 139.98333333333332, 39.36666666666667
